utterance_id,user_id,utterance_length,substitutions,deletions,insertions,wer,insertion_rate,deletion_rate,substitution_rate
n000019-fn000036-42.3615-43.4588,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-425.5300-427.3195,n000019,4,1,0,1,0.5,0.25,0.0,0.25
n000019-fn000036-430.0782-430.6310,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-433.4096-434.9066,n000019,4,1,0,0,0.25,0.0,0.0,0.25
n000019-fn000036-436.3735-437.2319,n000019,1,1,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-444.0924-445.9735,n000019,3,2,0,0,0.666667,0.0,0.0,0.666667
n000019-fn000036-445.9735-447.9018,n000019,2,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-451.0942-453.1354,n000019,4,2,0,4,1.5,1.0,0.0,0.5
n000019-fn000036-463.5243-465.3190,n000019,3,2,0,0,0.666667,0.0,0.0,0.666667
n000019-fn000036-466.2764-468.5200,n000019,5,2,0,0,0.4,0.0,0.0,0.4
n000019-fn000036-480.7358-481.5346,n000019,2,2,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-483.9963-485.0170,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-492.3878-493.3348,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-500.3993-501.5809,n000019,2,2,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-504.1432-505.5013,n000019,2,1,1,0,1.0,0.0,0.5,0.5
n000019-fn000036-511.7484-513.0524,n000019,2,0,0,2,1.0,1.0,0.0,0.0
n000019-fn000036-518.2628-519.4210,n000019,3,2,1,0,1.0,0.0,0.333333,0.666667
n000019-fn000036-525.4950-527.6939,n000019,4,1,0,0,0.25,0.0,0.0,0.25
n000019-fn000036-531.0291-533.9592,n000019,7,6,0,0,0.857143,0.0,0.0,0.857143
n000019-fn000036-543.7519-545.6923,n000019,3,0,0,1,0.333333,0.333333,0.0,0.0
n000019-fn000036-551.8324-554.0444,n000019,3,3,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-555.2599-556.0127,n000019,1,1,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-560.1900-562.8368,n000019,5,2,0,0,0.4,0.0,0.0,0.4
n000019-fn000036-564.9664-566.8053,n000019,1,1,0,1,2.0,1.0,0.0,1.0
n000019-fn000036-567.7791-569.6966,n000019,2,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-569.6966-571.1069,n000019,2,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-57.7031-59.9738,n000019,4,1,0,1,0.5,0.25,0.0,0.25
n000019-fn000036-574.8705-576.3326,n000019,2,1,0,0,0.5,0.0,0.0,0.5
n000019-fn000036-576.3326-577.8692,n000019,3,3,0,4,2.333333,1.333333,0.0,1.0
n000019-fn000036-578.9169-581.3128,n000019,2,1,1,0,1.0,0.0,0.5,0.5
n000019-fn000036-586.1454-589.0965,n000019,4,1,1,0,0.5,0.0,0.25,0.25
n000019-fn000036-589.0965-590.4049,n000019,2,1,0,1,1.0,0.5,0.0,0.5
n000019-fn000036-592.2312-593.0204,n000019,2,1,0,1,1.0,0.5,0.0,0.5
n000019-fn000036-593.0204-595.4278,n000019,6,4,0,0,0.666667,0.0,0.0,0.666667
n000019-fn000036-596.9025-599.3036,n000019,4,1,0,0,0.25,0.0,0.0,0.25
n000019-fn000036-6.2581-7.3645,n000019,3,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-604.9978-606.9193,n000019,4,1,2,0,0.75,0.0,0.5,0.25
n000019-fn000036-63.1274-64.9393,n000019,4,1,0,0,0.25,0.0,0.0,0.25
n000019-fn000036-64.9393-66.8664,n000019,4,2,0,1,0.75,0.25,0.0,0.5
n000019-fn000036-67.7779-69.7069,n000019,3,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-70.5033-71.8683,n000019,2,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-71.8683-73.4859,n000019,2,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-77.9286-79.8359,n000019,5,2,0,0,0.4,0.0,0.0,0.4
n000019-fn000036-79.8359-82.3719,n000019,7,1,1,0,0.285714,0.0,0.142857,0.142857
n000019-fn000036-9.1408-9.7691,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-90.0059-91.9821,n000019,4,1,0,0,0.25,0.0,0.0,0.25
n000019-fn000036-92.5764-95.3123,n000019,4,1,0,0,0.25,0.0,0.0,0.25
n000019-fn000036-95.3123-96.4749,n000019,2,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-97.0090-99.4706,n000019,3,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-99.4706-100.9290,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-101.4100-104.3698,n000022,8,1,3,0,0.5,0.0,0.375,0.125
n000022-fn000042-104.3698-105.5092,n000022,2,2,0,0,1.0,0.0,0.0,1.0
n000022-fn000042-116.0170-118.2909,n000022,5,2,2,0,0.8,0.0,0.4,0.4
n000022-fn000042-125.2525-127.0737,n000022,3,1,0,0,0.333333,0.0,0.0,0.333333
n000022-fn000042-138.5457-140.0568,n000022,3,1,0,1,0.666667,0.333333,0.0,0.333333
n000022-fn000042-146.8954-147.7748,n000022,1,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-159.3314-159.8990,n000022,1,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-173.1016-174.9341,n000022,3,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-203.0799-204.3058,n000022,2,1,0,0,0.5,0.0,0.0,0.5
n000022-fn000042-212.6154-215.3121,n000022,2,2,0,0,1.0,0.0,0.0,1.0
n000022-fn000042-227.7661-229.1037,n000022,3,2,0,0,0.666667,0.0,0.0,0.666667
n000022-fn000042-238.9304-240.2735,n000022,3,0,0,1,0.333333,0.333333,0.0,0.0
n000022-fn000042-253.5579-254.5713,n000022,1,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-264.7223-266.0114,n000022,2,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-276.0581-277.6001,n000022,3,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-277.6001-279.2484,n000022,2,1,0,3,2.0,1.5,0.0,0.5
n000022-fn000042-28.1541-30.0678,n000022,1,1,0,1,2.0,1.0,0.0,1.0
n000022-fn000042-286.1651-289.0370,n000022,6,2,0,0,0.333333,0.0,0.0,0.333333
n000022-fn000042-296.2150-298.1781,n000022,3,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-301.9071-303.4449,n000022,3,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-311.5514-313.0715,n000022,3,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-313.0715-315.1153,n000022,2,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-315.1153-317.4569,n000022,6,2,0,1,0.5,0.166667,0.0,0.333333
n000022-fn000042-334.6572-336.4193,n000022,3,1,0,0,0.333333,0.0,0.0,0.333333
n000022-fn000042-350.2937-352.3338,n000022,4,2,1,0,0.75,0.0,0.25,0.5
n000022-fn000042-352.3338-353.5212,n000022,4,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-368.0956-369.5561,n000022,3,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-382.6121-385.2181,n000022,7,0,3,0,0.428571,0.0,0.428571,0.0
n000022-fn000042-385.2181-386.3472,n000022,1,1,0,0,1.0,0.0,0.0,1.0
n000022-fn000042-403.3166-404.2013,n000022,2,2,0,1,1.5,0.5,0.0,1.0
n000022-fn000042-412.8387-415.1444,n000022,6,1,0,0,0.166667,0.0,0.0,0.166667
n000022-fn000042-420.7494-422.1181,n000022,5,1,0,0,0.2,0.0,0.0,0.2
n000022-fn000042-422.1181-424.4684,n000022,4,1,1,0,0.5,0.0,0.25,0.25
n000022-fn000042-424.4684-425.9903,n000022,2,1,0,0,0.5,0.0,0.0,0.5
n000022-fn000042-425.9903-427.3911,n000022,4,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-440.7498-442.0205,n000022,5,3,1,1,1.0,0.2,0.2,0.6
n000022-fn000042-442.0205-444.0014,n000022,3,1,0,0,0.333333,0.0,0.0,0.333333
n000022-fn000042-444.2828-447.2732,n000022,12,4,5,0,0.75,0.0,0.416667,0.333333
n000022-fn000042-457.0327-458.8163,n000022,6,0,4,0,0.666667,0.0,0.666667,0.0
n000022-fn000042-458.8163-459.7278,n000022,3,1,0,0,0.333333,0.0,0.0,0.333333
n000022-fn000042-46.4489-49.1019,n000022,6,0,1,0,0.166667,0.0,0.166667,0.0
n000022-fn000042-462.9974-464.1899,n000022,1,1,0,3,4.0,3.0,0.0,1.0
n000022-fn000042-472.0606-473.0934,n000022,3,2,0,0,0.666667,0.0,0.0,0.666667
n000022-fn000042-473.0934-475.3483,n000022,5,1,0,0,0.2,0.0,0.0,0.2
n000022-fn000042-475.3483-476.5795,n000022,1,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-477.2060-478.5920,n000022,1,1,0,1,2.0,1.0,0.0,1.0
n000022-fn000042-485.6934-486.8807,n000022,3,1,0,0,0.333333,0.0,0.0,0.333333
n000022-fn000042-491.0370-493.1472,n000022,3,1,0,0,0.333333,0.0,0.0,0.333333
n000022-fn000042-494.0893-495.3098,n000022,2,2,0,0,1.0,0.0,0.0,1.0
n000022-fn000042-500.6232-501.9249,n000022,3,0,0,0,0.0,0.0,0.0,0.0
n000022-fn000042-510.0983-511.8584,n000022,3,0,0,0,0.0,0.0,0.0,0.0
